date,site,topic,summary
2026-05-01,TC,Events array rewrite — chronology corrections,"Major restructure based on Thomas's biographical corrections. 35 events total (was 34). Drops 5: Build/raise (merged into Pig Farm), College+pharmacy (covered), Kitchen mgmt (replaced), Move w/ friend, Duplex. Adds 6: Horizon Valleyview Summer 1999 (server with family), Pharmacy in Valleyview Summer 2000, Town of VV moved to Summer 2001, Keg part-time Winter 2002, Ft Mac SAGD practicum split out Winter 2003, HCS sidelines (career pivot) 2003, Rics Grill Sept 2013. Renames 4: Parents divorce → The Big Migration North; Pig Farm + Build/raise merged → Building the Pig Farm 1994-97; Saving → Getting a Groove On 2003-13; T71 closes → A new chapter. Chronology corrections: Summer 1999 was Horizon (not Pharmacy); Pharmacy was Summer 2000; Town of VV was Summer 2001; Keg started Winter 2002. Prop reassignments: diner-sign Town of VV → Horizon (0.37); Winnebago old Power-Eng-FtMac combined → new Ft Mac SAGD event (0.53). Pos values re-spaced. Major's + Tractor Jack's logos downloaded to C:\Users	homa\Desktop\Photos	homascheesman-ca\ — awaiting WP upload before wiring on the Major's sign/polaroid. Shipped as commit 60e27d3, theme version 1.0.160."
2026-05-01,TC,Events array rewrite — chronology corrections,"35 events (was 34). Drops 5 (Build/raise merged into Pig Farm; College+pharmacy; Kitchen mgmt; Move w/ friend; Duplex). Adds 6 (Horizon Valleyview Summer 1999; Pharmacy Summer 2000; Town of VV moved to Summer 2001; Keg part-time Winter 2002; Ft Mac SAGD practicum split out Winter 2003; HCS sidelines 2003 career pivot; Rics Grill Sept 2013). Renames 4 (Parents divorce → The Big Migration North; Pig Farm + Build/raise merged → Building the Pig Farm 1994-97; Saving → Getting a Groove On 2003-13; T71 closes → A new chapter). Chronology corrections per Thomas: Summer 1999 was Horizon (server with Mom + brother + Uncle Dave); Pharmacy was Summer 2000; Town of VV was Summer 2001; Keg started Winter 2002. Prop reassignments: diner-sign Town of VV → Horizon (0.37); Winnebago old Power-Eng-FtMac → new Ft Mac SAGD event (0.53). Pos values re-spaced. Major's + Tractor Jack's logos downloaded to Photos/thomascheesman-ca/ — awaiting WP upload before wiring. Shipped as commit 60e27d3, theme version 1.0.160."
2026-05-01,TC,Major's + Tractor Jack's logos wired,"Thomas uploaded both logos to WP. Both URLs verified 200. Wired Major's Homestyle logo on the highway sign (green sign's right-side photo slot) and Tractor Jack's logo on the polaroid (replaces helper-at-majors-scaled.jpg). Personal helper photo unwired but not deleted from WP. Shipped as commit 62729e0, theme version 1.0.161."
2026-05-01,TC,V0.06 — props as top-parallax layer + sign landscape + home crossfade + night-sky blur,"Four changes per Thomas's screenshot feedback. (1) Props moved from road-level (year-locked, bunched at bottom) to TOP-of-viewport parallax layer. Each prop spawns at deterministic scroll-progress (evenly spread 0..1), drifts left at 380vw/progress (faster than road's 300vw). Y varied per prop in [4..26vh] from top. z-index 3→10. Year-locking dropped — props are atmospheric overhead scenery now. (2) Sign photo slot supports landscape: was 132×132 cover (cropped Major's wide logo); now height-locked 132px, width auto, max-width 240px, object-fit contain, transparent bg. Square photos unaffected; Major's logo visible in full. (3) Home photo slideshow now TRUE crossfade. Was sequential (both at 0 at the midpoint between centers — hard cut through backdrop). Now: ramp 0 (prev center) → 1 (own center) → 0 (next center). Adjacent slides at 0.5 each at midpoint, summing to 1.0. No backdrop showing through transitions. (4) Night sky: bumped filter blur 1.2px → 3.5px to mask dark-edge seams. Cropped version (night-sky-cropped.png, 883×720, both edges balanced at ~60 luminance) saved to Photos/thomascheesman-ca/ awaiting WP upload before swapping URL and reducing blur. Shipped as commit 9098040, theme version 1.0.162."
2026-05-01,TC,Night sky cropped + blur removed,"Thomas uploaded night-sky-cropped.png (883×720, edges balanced ~60 luminance). Swapped URL on .timeline-back-strip--night-sky and dropped filter:blur entirely — Thomas wants max detail. CSS filter:blur was element-wide, not edge-only. With balanced edges the cropped image should tile seamlessly without blur masking. Projector lightbox still uses original night-sky.png (cover no-repeat, no tiling). Shipped as commit bf4c17f, theme version 1.0.163."
2026-05-01,TC,Night sky fit to viewport height,"background-size: 100vw auto → auto 100vh + repeat-x. Image was rendering 1920×1565 on 1920×1080 (overflowing vertically). Now fits height, tiles horizontally only. Shipped as commit 8a5c53d, theme version 1.0.164."
2026-05-01,TC,Keg-era backdrops + Movember 'Stache 2009,"Three new images wired. Two new back-strips at z=5 (above era strips foothills/prairie/forest/night-sky, below home photos at z=6+) replace night-sky dominance during Keg years 2003-2013: the-keg-family.png (group photo, tiles horizontally, fades in 0.46→0.50) and price-is-right-keg.png (Vegas trip posed photo with edge text — no-repeat single image, dark fill on sides, fades in 0.58→0.62 covering keg-family). Plus new event '2009 — Movember 'Stache' inserted at pos 0.60 between Groove On (0.58) and Journeyman (0.62), with chef-thomas.png as polaroid. Total events now 36. Shipped as commit df11789, theme version 1.0.165."
2026-05-01,TC,Backdrop chain reordered + de-tiled,"Per Thomas: no tiling/duplication. All Keg + night-sky backdrops now no-repeat single images sized auto 100% (viewport-height-tall, natural width), centered in back layer with dark fill background-color on sides. Reordered chronologically: z=5 keg-price (fades in 0.50→0.54), z=6 keg-family (0.56→0.60), z=7 night-sky (0.60→0.62 brief). Night-sky moved from z=1 substrate to z=7 latest-backdrop, window narrowed to 0.60-0.62 (was 0.42-onwards) — addresses Thomas's 'soo much night sky' note. House photo z-indices bumped 6,7,8,9 → 8,9,10,11 to stay above night-sky. Existing era strips (foothills/prairie/forest) untouched. Shipped as commit 36a1718, theme version 1.0.166."
2026-05-01,TC,Scroll-idle fade for props + mid layer,"After 3 seconds of no scroll input, fade out the top-parallax props and the mid-layer silhouettes (the layer Thomas plans to fill with farms/buildings). Fade back in on scroll resume. Clears decorative noise so reader can focus on prose/signs/polaroids. Implementation: window scroll listener tracks lastScrollMoveTime; tick() computes idleMs and sets --decor-opacity (0 or 1) on document root; CSS applies opacity: var(--decor-opacity, 1) with 1s ease transition on .timeline-props and .timeline-layer--mid. Reduced-motion users keep decor visible always. Shipped as commit cddbba8, theme version 1.0.167."
2026-05-01,TC,Staggered scroll-idle fade,"All-at-once fade was abrupt. Each prop + mid layer now have their own randomized threshold in [3000, 4500]ms — staggered dissolve instead of synchronized vanish. Per-prop thresholds deterministic per index (stable across reloads); mid-layer threshold randomized once at init. Removed global --decor-opacity binding from .timeline-props and .timeline-layer--mid; JS now sets inline opacity per element. Bumped .timeline-prop transition 0.3s → 0.8s for smoother dissolve. Reduced-motion users skip fade. Shipped as commit b9fb5e4, theme version 1.0.168."
2026-05-01,TC,Scroll-idle fade — wider + slower,"Thomas: still too fast. Bumped idle thresholds 3000-4500 → 2000-5000ms (3× wider window). Fade duration 0.8s → randomized 2-3s per element. Each prop gets --prop-fade-duration CSS var (deterministic-per-index 2-3s); mid layer gets --mid-fade-duration (randomized once via Math.random). Total time idle-start → fully-faded: 4-8s per element. Shipped as commit 3f4d60a, theme version 1.0.169."
2026-05-01,TC,V0.07 — entrance phase,"First 2% of timeline progress is now an entrance: jeep slides from left edge to viewport center while scene stays frozen. After ENTRANCE_PHASE (0.02), normal panning kicks in. Refactor: outer-scope vars now have rawEasedProgress (accumulator the lerp writes to) AND easedProgress (remapped, used by all visual code). entranceProgress (0→1 ramp during entrance) added so positionJeep can short-circuit. dProgress for wheel spin now derives from rawEasedProgress so wheels still spin during entrance even though easedProgress is pinned at 0. Layers/markers/props/polaroids all use easedProgress so they freeze automatically during entrance — no CSS changes needed. Shipped as commit 2753eb6, theme version 1.0.170."
2026-05-01,TC,V0.07.1 — fix entrance-to-scene teleport,"At end of entrance phase, jeep was teleporting ~25vw forward. Cause: road CSS designed for path-P at viewport-x 75vw with jeep offset -0.0833 to land at 50vw, but at P=0 the offset clamps and jeep lands at 75vw (path start). Entrance ended at 50vw → snap to 75vw. Fix: shifted road transform from -25vw to -50vw so path-P sits at viewport-x 50vw directly. JS jeepF dropped its -0.0833 offset (now jeepF = easedProgress). Side effect: signs/markers now reach the jeep at the exact scroll progress matching event.pos — polaroid drops perfectly synced with sign passing jeep. Marker fade thresholds unchanged (50-100vw was already correct for jeep at 50vw). Shipped as commit c632e9b, theme version 1.0.171."
2026-05-01,TC,V0.07.2 — drag-racer wheelie during entrance,"Jeep now pops a wheelie sliding in from left edge to center. Tilt schedule (entranceProgress 0..1, mapped from Thomas's 0-50vw jeep-x positions): 0.00-0.30 -45° initial wheelie / 0.30-0.50 -30° drop / 0.50-0.80 -45° back up / 0.80-1.00 -45° → 0° smooth settle. Rotation pivots at rear wheel (transform-origin 25% 100%) during wheelie so front lifts dramatically while rear stays planted. Post-entrance origin resets to 50% 100% for home-era shrink. Re-added rotate() to jeep CSS transform stack; path-tangent rotation still parked (locked to 0° post-entrance) — wheelie is controlled animation, safe. Smoke / drag-racer effect future TODO. Shipped as commit 4b7833e, theme version 1.0.172."
2026-05-01,TC,Slow entrance wheelie,"ENTRANCE_PHASE bumped 0.02 → 0.05 — wheelie window now ~200vh of scroll (was 80vh). Wheelie reads as deliberate instead of snap-fast. Shipped as commit afffe74, theme version 1.0.173."
2026-05-01,TC,V0.07.3 — smooth entrance↔scene velocity transition,"Speed-jump at entrance-end (1000 vw/rawEased jeep slide → 315 vw/rawEased scene pan, 3× drop) felt jarring. Fixed with two-part smoothing meeting at zero velocity at the transition point: (1) Quadratic ease-out on jeep entrance position — jeep accelerates off the line then decelerates to STOP at viewport center. (2) Quadratic ease-in on scene start over SCENE_RAMP=0.025 of progress (~100vh scroll). Scene velocity ramps from 0 to cruise. Renormalized so easedProgress still reaches 1.0 at timeline end. Both velocities = 0 at transition → no jump. Wheelie tilt schedule still uses linear entranceProgress (independent of position) so tilt phases stay at consistent rawEased intervals. Shipped as commit 43b7190, theme version 1.0.174."
2026-05-01,TC,Drop prop sprites — bolted-on feel,"Removed all 6 prop entries (kodak-projector, telephone, boom-box, cabin, diner-sign, Winnebago) from events array. Thomas felt sprites read as disconnected for a road trip narrative. Infrastructure (CSS .timeline-prop*, JS positionProps + idle thresholds, PHP timeline-props rendering loop) stays — renders nothing since no events have prop field. Easy to revive in different form later. Shipped as commit bafcd89, theme version 1.0.175."
2026-05-01,TC,Excel todo list for remaining timeline images,"Generated timeline-images-todo.xlsx in Photos/thomascheesman-ca/. 13 empty polaroid events + 2 layer slots (mid + fore continuous-pan scenery). Columns: Type / Pos / Year / Event / What it should depict / Suggested style / URL (blank for Thomas) / Notes. Header dark-brown, layer rows highlighted cream-yellow, alternating zebra. Frozen header row, Arial throughout."
2026-05-01,TC,Wire polaroids + mid + fore layers from Thomas's xlsx,"9 polaroid URLs wired (Big Migration → vicious-geese, LaGlace → laglace, Building the Pig Farm → farm-teepee, Little Smokey, Pharmacy → rexall, Power Eng → GP college, HCS sidelines → young-and-reflective, Rics Grill, A new chapter → majors-dad with prose updated). 4 still empty pending FB history download (Spirit River, Horizon, Town of VV, Keg part-time). Mid layer: replaced SVG silhouette placeholder with 5 photographic farm-scenery sprites (farm-pc-2, farm-animals strip, farm-pc-1 wheat-pool, dead tree, farm-house-1) distributed at 12/32/50/72/90% of the 200vw layer, no tile. Fore layer: replaced SVG tufts with panoramic prairie+fence+roadside photo at bottom-40%, no tile. Phase 4 mid+fore content essentially done. Shipped as commit 173ab04, theme version 1.0.176."
2026-05-01,TC,Remove fore-layer prairie photo,"farm-road-e1777690665845.jpg was obscuring road signs / content on the right side. Set .timeline-layer--fore background to none. Layer kept in DOM with empty background so parallax stack stays intact and a future image can drop in. Shipped as commit 762fd80, theme version 1.0.177."
2026-05-02,TC,Passport page commit 1/4 — foundation scaffold,"Major pivot — Thomas decided the parallax-jeep /timeline doesn't fit the rest of the site. New approach: /passport renders his life as the interior of a well-travelled passport opened on a wood tabletop. Visual continuity with the existing footer passport (same passport-bg.png wood image, same --pp-* palette: cream paper / navy+gold cover / dark inks). Files: page-timeline-jeep.php archives the parallax version untouched (header rewritten so WP doesn't surface it), page-passport.php new scaffold with cover spread + ONE prototype circular stamp + 36-event placeholder list, style.css +300 lines passport section, header.php adds Passport menu link between Timeline and HCS. /timeline still works (untouched). Thomas needs to create a 'Passport' Page in WP admin with slug 'passport' before /passport resolves. Commits 2-4 land: real stamps + spread groupings, polish, footer continuity. Shipped as commit cd2889a, theme version 1.0.178."
2026-05-02,TC,Passport events template xlsx,"Generated passport-events.xlsx in Photos/thomascheesman-ca/. 36 rows seeded from the current passport scaffold. Columns: # / Year / Place / Title / Note (prose) / Image URL (full Hostinger URL pre-filled where wired, blank for the 4 still empty) / Status & change notes. Header navy/gold to match passport palette, alternating cream zebra. Frozen header. Thomas will edit (add/remove/swap rows) and we use this as the source of truth for commit 2's spread layout. Confirmed the model: one event per page, 2 events per spread (left + right), 36 events = 18 spreads."
2026-05-02,TC,Passport commit 2/4 — real stamps + spreads (50 events),"Full rewrite of /passport content. 50 events (was 36 — Thomas added 14 via the xlsx template). 25 facing-page spreads, 2 events per spread, each event = its own page. 4 stamp variants implemented: circular ink stamp (primary, always), postmark (secondary 1), polaroid with washi tape (secondary 2), ticket stub with perforated left edge (secondary 3). Multi-image events (Born, Mom competing, Big Migration, College+Swan, HCS sidelines, Family united, Getting a Groove On) cycle through variants by index. Pig Farm title/prose updated per Thomas: A farm, a barn, and corrals / Cattle, chickens, and pigs. New farm-teepee-Creek-.png URL wired. Swan-1.jpg as secondary on Fall 1999 College page (welcome to GP / Swan City). 2016 wedding gets neutral title (The wedding / Married in Teepee Creek) per private separation status. Shipped as commit a51a479, theme version 1.0.179. Commit 3: PhotoSwipe lightbox + margin doodles + view transitions."
2026-05-02,TC,Passport commit 3/4 — era dividers + ornaments + lightbox plumbing,"50 events broken into 8 chronological eras via tc_passport_era_for() regex on year strings: Calgary & The Foothills / The Migration North / Reunion & The Farm / College & The Keg Start / The Keg Years / New Restaurants New Family / Family Body Recovery / Settled. Era divider component prints between spreads when era changes — gold-tinted serif label between glowing horizontal rules. Corner ornaments: small SVG gold flourishes in top corners of each interior page, mirrored on facing pages. PhotoSwipe: sitewide initLightbox() already auto-wraps main imgs, so stamps are clickable into gallery; CSS adjusts wrapping anchor geometry (border-radius for circular stamps). Deferred to next conversation per Thomas: stamp variation refinement (more random/varied), table+cover+paper textures, page-turn sound effects, view transitions, per-event lightbox grouping. Excel rebuilt at Photos/thomascheesman-ca/passport-events.xlsx with 50 rows × 8 image columns (max 4 current + 4 spare slots per row). Shipped as commit 02b3ecf, theme version 1.0.180."
2026-05-02,TC,V0.05.md close-out for jeep timeline arc,"Wrote timeline-build-log/V0.05.md per Thomas's explicit request — closes out the jeep timeline iteration arc (V0.05 → V0.07.3, ~25 commits) and documents the pivot to /passport. PARKED table updated to cover everything jeep-related (the whole approach now parked). Footguns documented (cache-buster ≠ deploy, MotionPath angle is path-local, getScreenCTM vs naive scale, wild Bezier tangents, sprites bolted-on). Quick-start for next agent: don't revive jeep, work on /passport, sync from passport-events.xlsx. Shipped as commit 98d9a42, theme version stays at 1.0.180 (no style.css change)."
2026-05-03,TC,Pivot — passport metaphor parked, scrapbook direction,"Caught up on V0.01-V0.05 build logs to understand jeep arc and passport build state. Thomas asked for stamp recommendations on /passport (V0.05 had 4 fixed stamp types — circular/postmark/polaroid/ticket — that cycled deterministically and felt machine-printed). Proposed cheap-pass: 6-slot ink palette (red/blue/indigo/oxblood/teal/sepia) + per-slot rotation/shift/opacity, deterministic from PHP (page_num + idx) % 6, with color-mix() ink-bleed shadows. Shipped as uncommitted edits to page-passport.php and style.css (Version bumped 1.0.180 -> 1.0.181 in worktree). Then drafted phase-2 plan for 'intentional unevenness' via 5 wear archetypes (crisp / NW lift / SE press / edge break / ghost) with shared SVG turbulence + radial bleed masks + conic-gradient ring breaks. Thomas reviewed reference passport-stamp imagery and decided the entire metaphor was wrong: stamps are ink-only marks (text + outlines + simple emblems), not photo frames. Photos belong as photos. New direction: scrapbook (or scrapbook-like surface — wood table / desk / bed / podium / TBD). Wrote V0.06.md as the close-out for the passport arc and the kickoff for the scrapbook pivot. Carries forward only events array (50 events) + image URLs; everything else discarded. Cheap-pass edits left uncommitted in worktree pending Thomas's revert decision. No commits this session — last commit on branch is 98d9a42 (V0.05 doc), theme version stays 1.0.180 committed."
2026-05-05,TC,V0.07.md design-complete handoff for /scrapbook,"Closed the design phase for the scrapbook (descendant of parked /timeline jeep and /passport stamps). Visual prototype completed at Desktop\ornaments-demo.html — five decade-themed stamps (rect/sunburst-circle/oval/two-ring-circle/dashed-square in indigo/oxblood/sepia/black/forest), five page numbers with hover easter eggs (coin flip / heads-or-tails / cartoony jiggle / fly-away with random direction / fade-grow), five photo corners + five washi tapes + five decade tabs (2020s glassmorphic), highlighter index card with fluorescent multiply-blend colors, marginalia toolkit, ticket stubs. Five-spread 'in context' mock at the end shows the system composing per decade. Wrote V0.07.md (286 lines) as full build spec for the next agent: slug /scrapbook, wooden-desk surface (URL TBD), page-flip via CSS 3D (no video clip), 2 facing pages visible at once, decade tabs nav, all 113 events from passport-events.xlsx, file structure (page-scrapbook.php + scrapbook.css + scrapbook.js + inc/scrapbook-helpers.php), pre-authorized 8-commit build sequence. Committed as e6f8d72 on the worktree branch claude/pedantic-ardinghelli-9f660b. One blocking TBD: wooden-desk surface URL — Thomas has 10+ candidate local files but needs to upload one to Hostinger. Memory updated: new project_tc_scrapbook_design_system.md pointer memory, MEMORY.md index, backlog updated, email-status memory marked RESOLVED (POP3 fetch from wecare@ working since 2026-05-05). Theme version stays 1.0.180 committed (no CSS/JS changes this session — pure docs)."
"2026-05-06","TC","Pivot from /scrapbook to external Next.js timeline","Heavy session. Built /scrapbook page in WP per V0.07 spec across ~30 commits (C0..C3f) -- 5-keyframe scroll-driven intro, page-turner.mp4 video flip mechanic with reverse-mirror trick, polaroid spreads with hand-placed variations, table-today.png pillarbox backdrop, cropped-book single-page surface, mask-blend + directional drop-shadow integration. Every iteration of compositing AI-generated photographic assets (book + table + memorabilia) hit the same wall -- 'binder bolted on', 'memorabilia like AI slop', 'frames don't line up'. Thomas pivoted explicitly: 'I have been limited within the confines of Wordpress so some outside the box thinking is in order' -- diagnosed WP confines as the actual bottleneck. Created separate Next.js 16.2.5 project at C:/Users/thoma/Desktop/tc-timeline/ (initially tc-passport, renamed mid-session when subdomain choice clarified to timeline.thomascheesman.ca). Shipped clean editorial timeline page (server component, dark theme, Geist font, amber accent): hero with dad's letter (Thomas transcribed from letter-in-book.png via Grok), 8 era-grouped sections, 112 events from renamed `timeline events.xlsx`, supports text-only entries. Builds clean, 4 routes prerendered. Local-only WP theme commits 79f0a2d -> 8bbb521 update menu link to https://timeline.thomascheesman.ca/ (label Passport->Timeline) -- NOT pushed pending subdomain verification. Phase 2 deployment pending Thomas-side: GitHub publish via GitHub Desktop, Vercel import, Hostinger CNAME 'timeline' -> cname.vercel-dns.com. Thomas hit PowerShell exec-policy block on `npm run dev` at end of session; fix delivered (Set-ExecutionPolicy -Scope CurrentUser RemoteSigned). Wrote V0.08.md close-out (commit 0badbff) as immutable session record + handoff for next agent. New memory rule logged: feedback_no_object_fit_cover.md ('cover crops Thomas's authored composition; always contain; if aspect mismatch re-author at target ratio') -- indexed in MEMORY.md. Workflow change: Thomas asked whether to drop Grok and use only Claude for execution; agreed yes (relay pattern with him as message-passer was doubling cost). Theme version 1.0.180 pushed -> 1.0.212 local. Last pushed commit: c53afde. Last local commit on theme branch: 0badbff."
2026-05-11,TC,Per-kid photo galleries + footer polish + contact pivot,"Heavy session. (1) Per-kid photo galleries shipped on all three spoke pages — Patience (134), Daniel (207), Faith (219). New inc/photo-gallery.php renderer (CSS Columns masonry, year-tagged items, year-range sections, hover pop, slideshow autoplay button at 12+ items, video <video> support). Per-kid gallery data files inc/gallery-{patience|daniel|faith}.php auto-generated from xlsx column D=year. 251 broken WP URLs auto-fixed via rewrite (lowercase ext, paren strip, -scaled suffix, HEIC→JPG). (2) xlsx scaffolds built for Daniel (daniels.XLSX, 222 rows) and Faith (faiths.XLSX, 290 rows initially, culled to 219 after Thomas removed Apple Live Photo dupes) — 150x150 thumbnails embedded, navy/cream styling matching partiences.XLSX. (3) Wipeout GIF built from 3 Dec-2019 frames at C:\Users\thoma\Desktop\Photos\Patience\patience-wipeout-2019.gif (790KB, 3 frames @ 700ms loop) — awaiting Thomas's WP upload + URL handoff to swap into Patience gallery. (4) Footer polish — all 5 parked items shipped: stronger spine fold (gradient peak 14%→22% + highlight strokes), page-corner curl (clip-path triangle pseudos with drop-shadow), bearer-name ink bleed (text-shadow halo), MRZ perforation rule (radial-gradient stipple ::before), cursor-proximity stamp glow (initFooterStampProximity rAF loop, --stamp-proximity CSS var driving box-shadow). (5) Contact form abandoned entirely. Was: server-side wp_mail to wecare@bareyourrare.org with Gmail POP3 fetch. Tried mailto: composer (Chrome flagged action=mailto as insecure + no default mail client on Thomas's box). Final: form gone, replaced with .tc-contact-card click-to-copy chip, rot13'd address (guznfzpurrfzna@tznvy.pbz) decoded by JS on load. tc_dispatch_handler() removed from functions.php. (6) Sun FM 96.3 + 97.7 Rock streams replaced (terrestrial broadcasters kept failing) — SomaFM Indie Pop Rocks! for 20s decade, Radio Paradise Rock Mix for 00s decade in tc-timeline (Next.js project). (7) Era intros for tc-timeline now auto-emit from xlsx column N via extended import-events.mjs — 8/9 eras filled. (8) Visited-places map layer on tc-timeline /map — 38 yellow-glow pins from new src/data/visited.ts + visited-places.ts with geocode-visited.mjs script. (9) visited places.xlsx seeded with 'Best Known For' column for Thomas to fill later. (10) Patience intro stripped of 3 broken figures (kept 1 working hero). Faith intro stripped of 3 broken figures (kept 2 working). Daniel intro untouched. Theme version 1.0.211 → 1.0.225 across the session. Backlog state at wrap: Phase 1 essentially done minus content work (#1 editing pass, #3 Phase D story posts in WP, #4 old-site post migration, #7 page-by-page once-over). Phase 2 = BHAG menu/explorer decision. Phase 3 = DNS go-live. Pre-flip checklist nearly clear."
